Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
电信天翼CDMA双模直板手机佳斯特J218单卡C网 QQ JAVA 手电,消费者保障,无七天退换,,广东 深圳货到付款,188.00        运费：10.00           信用卡,陈宏8888,0,0
朵唯 S680 正品行货 美女的最爱 女生手机 全国联保 现货 包邮,"消费者保障	七天退换",七天退换,2条评价,广东 深圳,260.00        运费：0.00           信用卡,通宇数码城,0,2
Nokia/诺基亚 C5-05 智能手机 正品行货 全国联保,消费者保障,无七天退换,,福建 泉州,699.00        运费：0.00           信用卡,wjmwjm78,0,0
三盟S908老人机正品 老人手机 老年手机 抗摔 防辐射语音王老人机,消费者保障,无七天退换,,广东 深圳,169.00        运费：0.00,pan41150364,0,0
宝马手机 宝马车钥匙 车锁 车链 天时达 811,消费者保障,无七天退换,,浙江 温州,300.00        运费：10.00           信用卡,vinnie_lee07,0,0
全盈 E9-M 天翼双模双待手机 2.4屏幕 手电筒,消费者保障,无七天退换,,广东 东莞,238.00        运费：8.00,明城通信,0,0
HTC S720e G23 One X 手机,消费者保障,无七天退换,,广东 深圳,3990.00        运费：0.00,gaoshu0301,0,0
ZTE/中兴 v852安卓2.2 智能手机 320万像索 全新原装正品 联通3G,"消费者保障	七天退换",七天退换,"月售4笔	2条评价",上海货到付款,360.00        运费：10.00           信用卡,鸿福数码店,4,2
HTC T320E G24 One V  X超强完美屏ONE X安卓智能手机送电源 顺丰,"消费者保障	七天退换",七天退换,"月售34笔	11条评价",北京,1177.19        运费：0.00,亲密心事6,34,11
ZTE/中兴 N780手机 电信3G 安卓2.2系统 双网双待 正品行货,"消费者保障	七天退换",七天退换,,上海,630.00        运费：10.00,天羽旺田共,0,0
爱我LOVME-A7 时尚翻盖手机/双卡双待/音乐炫灯/JAVA  全国包邮,消费者保障,无七天退换,,广东 汕头,499.00        运费：0.00,泳升数码,0,0
现货 特价 Samsung/三星 I9103/Galaxy R 手机,消费者保障,无七天退换,,上海,2820.00        运费：0.00,一杆修竹68,0,0
原装正品LG KF350翻盖手机 特价包邮免费换4G预装软件送皮套,"消费者保障	七天退换",七天退换,"月售8笔	10条评价",广东 深圳,230.03        运费：0.00           信用卡,新起点手机店铺,8,10
Nokia/诺基亚 N8/N8-00 直板触屏3G智能手机 WIFI 1200W像<e7><b4>,"消费者保障	七天退换",七天退换,,陕西 西安,1950.00        运费：10.00           信用卡,peng198212,0,0
Gionee/金立 GN205 安卓智能双卡手机 送贴膜,消费者保障,无七天退换,,四川 成都,1299.00        运费：20.00           信用卡,诚信拾金jun,0,0
ZTE/中兴 v852 WCDMA/GSM 3G 手机 咖啡色 -联通定制机,"消费者保障	七天退换	正品保障",七天退换,"月售9笔	1条评价",上海,299.00        运费：8.00           信用卡,新蛋官方旗舰店,9,1
HTC S720e G23 One X 四核 智能手机 大屏,消费者保障,无七天退换,,广东 深圳,3120.00        运费：22.00,逍遥追影,0,0
全新 现货 Acer 宏基  E320 安卓手机 3.5寸,"消费者保障	七天退换",七天退换,2条评价,广东 深圳,380.00        运费：10.00           信用卡,导购站,0,2
(现货)Huawei/华为 U8836d G500 Pro 闪耀 360特供机 4.3寸屏手机,"消费者保障	七天退换",七天退换,,广东 深圳,1386.00        运费：0.00           信用卡,心动卡行,0,0
天时达T885 男士直板手机 双卡双待 收音机 QQ 蓝牙 正品行货,消费者保障,无七天退换,"月售12笔	4条评价",广东 深圳,125.00        运费：10.00           信用卡,一飘1983,12,4
包邮代写号送话费Apple/苹果 iPhone 4代（CDMA）电信烧号手机,"消费者保障	七天退换",七天退换,"月售423笔	950条评价",广东 深圳,2550.00        运费：0.00           信用卡,金牌科技688,423,950
促销诺基亚2610经典彩屏 老人手机超长待机(Nokia/诺基亚 1800),"消费者保障	七天退换",七天退换,"月售80笔	152条评价",广东 深圳,70.00        运费：0.00           信用卡,佳乐美数码,80,152
hello kitty升级版凯蒂猫翻盖手机C168KT猫手机,"消费者保障	七天退换	24小时发货",七天退换,,北京,438.00        运费：30.00,qingdi007,0,0
【官方旗舰店】Sony Ericsson/索尼爱立信 MT15i 安卓智能手机,"消费者保障	七天退换	正品保障",七天退换,"月售2笔	142条评价",北京,1799.00        运费：0.00           信用卡,索尼爱立信旗舰店,2,142
K-Touch/天语 N2200学生 老人手机 全国联保,"消费者保障	假一赔三    品牌授权",无七天退换,,黑龙江 哈尔滨,168.00        运费：12.00,hlj3522083,0,0
HY/现代 暴风H9  双卡双待安卓智能手机WCDMA GSM 手机 智能 安卓,"消费者保障	假一赔三    品牌授权",无七天退换,,上海,777.00        运费：0.00           信用卡,200840782w,0,0
包邮 Lenovo/联想 TD30t 手写直板手机 CMMB 免费电视  原装正品,"消费者保障	七天退换",七天退换,"月售26笔	113条评价",广东 深圳货到付款,218.00        运费：0.00           信用卡,ucvd33,26,113
炫色超薄智能手机T618,消费者保障,无七天退换,,重庆,950.00        运费：0.00,lyw525378,0,0
袖珍个性迷你宝马手机 超小车钥匙扣手机 大众保时捷手机 包邮,消费者保障,无七天退换,,广东 深圳,249.00        运费：0.00,港深万通国际,0,0
正品Daxian/大显 GS2000老人手机大字体彩屏老人机老年手机老年机,"消费者保障	七天退换	正品保障",七天退换,"月售376笔	745条评价",广东 深圳,128.00        运费：0.00           信用卡,谷米数码专营店,376,745
Apple/苹果 iPhone 4代（CDMA）手机电信写号版 烧号版 3G智能,"消费者保障	七天退换",七天退换,"月售41笔	12条评价",广东 深圳,1649.01        运费：0.00           信用卡,chenggondian1978,41,12
【假一罚三】全国联保ZTE/中兴 V889D手机,消费者保障,无七天退换,,上海,758.00        运费：0.00           信用卡,王成工作室,0,0
电信老人手机 正品行货 电信 移动 双模 手机 双模双待电信手机,"消费者保障	七天退换",七天退换,"月售16笔	28条评价",广东 深圳货到付款,248.01        运费：0.00           信用卡,cantonaws,16,28
Lenovo/联想 P90W  翻盖旋转手机 联通3G  QQ后台 全国联保,"消费者保障	七天退换	正品保障",七天退换,"月售6笔	32条评价",浙江 杭州,410.00        运费：6.00           信用卡,龙浙数码专营店,6,32
【乐淘手机城】Apple/苹果 iPhone 4 8G 大陆行货 未拆封,"消费者保障	七天退换",七天退换,,湖北 随州,3799.00        运费：0.00           信用卡,mydanao,0,0
包邮 HTC A510e G13 Wildfire S 手机,消费者保障,无七天退换,,上海,1149.00        运费：0.00           信用卡,王成工作室,0,0
海信E920 电信CDMA天翼3G手机 4.0寸 安卓2.3系统 送凯立德导航,消费者保障,无七天退换,"月售1笔	1条评价",上海,600.00        运费：0.00,融科数码通讯,1,1
包邮 现货 Sony Ericsson/索尼爱立信 SK17i 索爱SK17I 手机,消费者保障,无七天退换,,上海,1249.00        运费：0.00,taobao_cgx,0,0
迎佳域G3 双核 安卓4.0 佳域G2双核版手机 购单核G2 1G+4G 小辣椒,消费者保障,无七天退换,"月售353笔	536条评价",山东 济南,919.00        运费：0.00,流云liuyun65,353,536
老人手机 德赛 T299 语音报号 手电筒内存卡扩展MP3 两色现货送礼,消费者保障,无七天退换,"月售14笔	18条评价",山东 济南,145.00        运费：15.00,红草莓88,14,18
促销BBK/步步高 I536时尚滑盖手机全新正品行货 包邮,"消费者保障	七天退换",七天退换,"月售3笔	10条评价",广东 深圳货到付款,500.00        运费：0.00           信用卡,吴国金w,3,10
【皇冠】Lenovo/联想 A60智“用”双全 智能手机 安卓 上网 双待,消费者保障,无七天退换,,浙江 宁波货到付款,959.00        运费：7.00           信用卡,zhihui288,0,0
促销HEDY/七喜 U100  超大音量超大字大键盘直板老人手机 一键S0S,消费者保障,无七天退换,"月售33笔	14条评价",广东 广州,133.00        运费：10.00           折扣,直营店薄利多销,33,14
HTC Titan II原装G26/G28升级G29双核1.5G安卓智能手机4.7寸屏,消费者保障,无七天退换,"月售13笔	3条评价",广东 深圳,1520.00        运费：0.00,浪子d心声,13,3
包邮 现货 Samsung/三星 I9100 Galaxy S2 双核手机,消费者保障,无七天退换,,上海,2870.00        运费：0.00,蚁族的调调,0,0
包邮老人机正品行货高斯贝尔 GS88 老人手机 老年机 大音量大字体,消费者保障,无七天退换,"月售19笔	55条评价",广东 深圳,159.01        运费：0.00           信用卡,熊猫儿百货,19,55
【假一罚三】全国联保Motorola/摩托罗拉 xt928 双模手机,消费者保障,无七天退换,,上海,3708.00        运费：0.00,cenjie199328,0,0
贝贝熊D302儿童定位手机/康 佳Q6/爱贝多Q9儿童手机~基站定位,消费者保障,无七天退换,,广东 深圳,230.00        运费：9.00,淘麦宝,0,0
Samsung/三星 I9220 Galaxy Note N7000 港版韩版32G粉色手机现货,"消费者保障	七天退换",七天退换,"月售12笔	96条评价",广东 深圳,2750.15        运费：0.00           信用卡,精典海蓝,12,96
时尚  手机，Nokia/诺基亚 X2-01,消费者保障,无七天退换,,广东 深圳,510.00        运费：20.00,雪的思念66,0,0
Samsung/三星 I9103/Galaxy R 安卓2.3智能手机 双核1G 500W 正品,"消费者保障	七天退换",七天退换,,广东 深圳,2685.00        运费：0.00,ana1991,0,0
Nokia/诺基亚 5233 正品行货 联保 3G智能手机 全国联保送手机套,"消费者保障	七天退换	正品保障",七天退换,"月售47笔	42条评价",上海,638.02        运费：0.00           信用卡,品修数码专营店,47,42
5.0寸安卓智能手机6575手机千元以下5寸平板电脑手机触屏大屏幕,消费者保障,无七天退换,,广东 深圳,1080.00        运费：10.00,1994820zy,0,0
热卖！Daxian/大显G801 WIFI 无线上网IP4四代4S手机 团购包邮！,消费者保障,无七天退换,4条评价,广东 深圳货到付款,250.00        运费：10.00           信用卡,耀博数码专卖,0,4
Samsung/三星 B309 电信天翼 CDMA手机 QQ 正品 机打发票,"消费者保障	七天退换	正品保障",七天退换,"月售7笔	18条评价",上海,145.00        运费：5.00           信用卡,埃立芬数码专营店,7,18
MIUI/小米 M1(电信版) 全新手机正品 全国联保 包邮,消费者保障,无七天退换,,广东 广州,2050.00        运费：0.00,海双通信,0,0
Samsung/三星 W 999双模双卡双待 翻盖手机 电信天翼CDMA,消费者保障,无七天退换,"月售9笔	6条评价",广东 深圳货到付款,950.00        运费：20.00,久久数码广场,9,6
Nokia/诺基亚 2690 正品行货带机打发票 时尚手机QQ后台 全国包邮,"消费者保障	七天退换",七天退换,"月售1笔	6条评价",广东 深圳货到付款,300.00        运费：0.00           信用卡,梦韵之宝,1,6
兰州实体 DELL戴尔 Streak Pro D43 手机 金刚屏 国行联保 特价,消费者保障,无七天退换,,甘肃 兰州,2850.00        运费：50.00           信用卡,汇鑫电子科技有限公司,0,0
特价知己正品行货 安卓系统高清触屏女款学生android智能wifi手机,"消费者保障	七天退换",七天退换,"月售3笔	2条评价",广东 深圳,398.01        运费：0.00,国良63,3,2
南昌友人智机 Nokia/诺基亚 900 wp7手机 芒果系统 免费越狱软件,消费者保障,无七天退换,1条评价,江西 南昌,2780.00        运费：10.00,snoopy4444cn,0,1
全新 LG P970 安卓智能 薄阡时尚 新款热销 正品 手机,消费者保障,无七天退换,,广东 深圳,1599.00        运费：12.00,dhj俊,0,0
实体店销售亿通 E306QQ农场 JAVA超强音质手机冲钻特价468元,消费者保障,无七天退换,,江苏 泰州,468.00        运费：15.00,我的锐欧,0,0
双模双待 电信手机 3.5屏 E7   双网双待 CDMA 半智能 QQ 包邮,消费者保障,无七天退换,"月售6笔	2条评价",广东 深圳货到付款,297.00        运费：0.00           信用卡,实体数码批发,6,2
Samsung/三星 I9001 超薄4寸安卓2.3全触屏智能手机 省内包邮,消费者保障,无七天退换,,广东 深圳,1850.00        运费：20.00           信用卡,cjweng,0,0
正品途耐T99 三防手机 双卡双待双模 GPS超长待机路虎S1 送礼包邮,"消费者保障	七天退换",七天退换,"月售12笔	5条评价",广东 深圳货到付款,858.00        运费：0.00           信用卡,go8788,12,5
天时达正品T928时尚手机后台QQ双卡双待男女款手机,消费者保障,无七天退换,,山东 济南货到付款,199.00        运费：0.00,明哲通讯,0,0
安卓智能电容屏手机 G22 2.3.系统 时尚达人 小绿蜂 海量应用游戏,"消费者保障	七天退换",七天退换,"月售1笔	1条评价",广东 深圳货到付款,420.00        运费：10.00,bluelight蓝光,1,1
◆超凡手机数码◆LG P725 Optimus 3D MAX裸眼3D 双核特价,"消费者保障	七天退换",七天退换,,重庆,2050.00        运费：0.00           信用卡,重庆天河手机通讯,0,0
2011新款法拉利 W8 翻盖跑车F599 汽车 跑车手机 双卡双待 后台QQ,消费者保障,无七天退换,3条评价,上海,255.00        运费：6.00,可嘉,0,3
顶级奢华 威 图/韦图 个性手机 M7签名版 S级 Vertu Signature,消费者保障,无七天退换,,上海,980.00        运费：6.00,可嘉,0,0
Motorola/摩托罗拉 XT301 3G手机（奇炫灰）CDMA2000/CDMA 电信,"消费者保障	七天退换",七天退换,,北京,1032.00        运费：10.00           信用卡,xrsc365,0,0
Motorola/摩托罗拉 XT502 3G手机（耀动黒）WCDMA/GSM,"消费者保障	七天退换",七天退换,,北京,1501.00        运费：10.00           信用卡,xrsc365,0,0
特价包邮【送保护壳】Coolpad/酷派 7260 手机 全国联保 正品行货,消费者保障,无七天退换,,福建 福州,750.00        运费：20.00           信用卡,国英网购,0,0
HTC A310e Explorer双核800万像素安卓智能手机4.3寸Amaze 4G G22,消费者保障,无七天退换,,福建 福州,1175.00        运费：20.00           信用卡,国英网购,0,0
包邮 现货HTC X715e G22 Amaze 4G 手机,消费者保障,无七天退换,,上海,2420.00        运费：0.00,wanzmnn,0,0
包邮 现货HTC Z715e G18 Sensation XE 手机,消费者保障,无七天退换,,上海,2549.00        运费：0.00,wanzmnn,0,0
ZTE/中兴 N780手机 正品行货 GPS CDMA3G智能手机 移动联通电信,消费者保障,无七天退换,,江苏 南京,890.00        运费：6.00,手机王子1949,0,0
未拆封！ZTE/中兴 U880（TD版） 移动3G安卓智能手机 升级2.37版,"消费者保障	七天退换",七天退换,"月售6笔	17条评价",广东 深圳货到付款,520.00        运费：13.00           信用卡,faith_jun,6,17
Samsung/三星 I9001 Galaxy S Plus 安卓手机 完美屏,消费者保障,无七天退换,,广西 南宁,1870.00        运费：0.00           信用卡,dswy9527,0,0
限量秒杀Lenovo/联想 A520 乐phone行货女性智能3g手机双卡双待,"消费者保障	七天退换	正品保障",七天退换,"月售149笔	468条评价",福建 厦门,1099.00        运费：0.00           信用卡,联想手机官方旗舰店,149,468
HTC A510e G13 Wildfire S/安卓系统3G智能手机 包邮送红包,"消费者保障	七天退换",七天退换,"月售51笔	302条评价",广东 深圳货到付款,730.08        运费：0.00           信用卡,拍拍交易网,51,302
特价促销Samsung/三星 W279 手机 电信3G CDMA双模双待行货带票,"消费者保障	七天退换	正品保障",七天退换,"月售113笔	66条评价",浙江 杭州,489.00        运费：0.00           信用卡,中数数码专营店,113,66
送猫猫套 天时达T606 超薄高清屏4.0寸大屏手机 男女款JAVA语音王,消费者保障,无七天退换,,上海,340.00        运费：15.00,全国数码批发总代理,0,0
安卓4.0送音乐耳麦+高清视频线Motorola/摩托罗拉 xt889 电信手机,"消费者保障	七天退换",七天退换,月售3笔,北京货到付款,2350.14        运费：0.00           信用卡,中关数码通,3,0
【赠贴膜】Motorola/摩托罗拉 XT615锋丽智能 正品行货手机,"消费者保障	七天退换	正品保障",七天退换,"月售514笔	693条评价",浙江 杭州,1499.11        运费：0.00           信用卡,摩托罗拉旗舰店,514,693
海尔 V70 海尔 GSM 双卡 蓝牙 MP3 炒股 直板手机,消费者保障,无七天退换,,四川 成都,399.00        运费：0.00,海尔全套家电直营店,0,0
全场包邮 Coolpad/酷派 5820 手机 正品行货 3G 电信 全国联保,消费者保障,无七天退换,,广东 深圳,529.00        运费：0.00,tongaway,0,0
Nokia/诺基亚 800 大陆行货 全国联保 3G手机,消费者保障,无七天退换,,浙江 杭州,2490.00        运费：15.00,童话姐姐_2007,0,0
Coolpad/酷派 7260+ 大屏手机 智能手机 双卡双待手机联保,"消费者保障	七天退换",七天退换,,山东 青岛,760.00        运费：13.00           信用卡,海岸清风7,0,0
Apple/苹果 iPhone 4S 16G苹果手机大陆行货国行正品原封,"消费者保障	24小时发货",无七天退换,,陕西 西安,4750.00        运费：12.00,金亿数码精品,0,0
批发国产手机8200 9200个性直板触屏情侣学生女士机JAVA双卡双待,消费者保障,无七天退换,,广东 深圳,230.00        运费：22.00,卡琪乐淘,0,0
Motorola/摩托罗拉 ME811 Droid X 电信 CDMA手机 3G插卡 包退换,"消费者保障	七天退换",七天退换,"月售20笔	22条评价",广东 深圳,512.00        运费：0.00           信用卡折扣,乐购乐go1,20,22
安卓 智能手机 天星X825A 3G 黑色,消费者保障,无七天退换,,广东 深圳,949.00        运费：10.00,露娜house,0,0
Huawei/华为 C2856 彩屏直板联保发票电信天翼CDMA手机行货现货,"消费者保障	七天退换	正品保障",七天退换,"月售71笔	68条评价",江苏 徐州,129.00        运费：6.00           信用卡,皓越数码专营店,71,68
Lenovo/联想 S680 新款安卓4.0智能手机 4.3英寸屏乐Phone正品,"消费者保障	七天退换",七天退换,"月售18笔	16条评价",上海,1050.00        运费：0.00           信用卡,汇佳诚,18,16
Nokia/诺基亚 5230XM 200W/3.2寸/GPS 5230手机 正品,消费者保障,无七天退换,,广东 深圳,820.00        运费：13.00           信用卡,sinicam,0,0
冲5钻 正品行货 三星 S6500D 安卓2.3 WIFI 智能手机,"消费者保障	七天退换",七天退换,,湖南 长沙,950.00        运费：12.00           信用卡,qiyu_da,0,0
【假一罚三】全国联保HTC T328d Desire VC 双模手机,消费者保障,无七天退换,,上海,2081.00        运费：0.00,cenjie199328,0,0
大鹏A9230手机 5寸电容屏 安卓智能手机 3D 导航GPS 双核芯片,消费者保障,无七天退换,,广东 深圳货到付款,960.00        运费：10.00           信用卡,华强动感电子,0,0
最新 安卓2.3系统 电容屏 低价智能手机 GPS导航 5点触摸限时秒杀,消费者保障,无七天退换,,上海,625.00        运费：15.00,全国数码批发总代理,0,0
Nokia/诺基亚 C5-05塞班智能手机 正品行货 全国联保,消费者保障,无七天退换,1条评价,四川 成都,585.00        运费：15.00,gadengbiao,0,1
vollo 唯乐VI820智能手机3.5寸电容屏安卓2.3 双卡双待全国联保,"消费者保障	七天退换	24小时发货",七天退换,"月售7笔	12条评价",广东 深圳货到付款,655.50        运费：0.00           信用卡折扣,kahkang,7,12
《爱都商贸》包邮 Apple/苹果 iPhone 4S 手机 iphone4s 16g,消费者保障,无七天退换,,上海,4449.00        运费：0.00,成人用品店3,0,0
英华OK A300HK电信天翼CDMA Hello Kitty 翻盖手机 正品,"消费者保障	七天退换",七天退换,"月售8笔	1条评价",广东 深圳,145.00        运费：8.00           信用卡,科技专业电子,8,1
纽曼 M26 手机 时尚手机 GSM网络 移动QQ 直板老年机,消费者保障,无七天退换,,北京,199.00        运费：10.00           信用卡,花妞花,0,0
【全新正品活动】HEDY七喜D13 全触屏直板商务手机 双卡双待,消费者保障,无七天退换,"月售13笔	5条评价",广东 广州,198.00        运费：10.00,直营店薄利多销,13,5
Nokia/诺基亚 1010GSM手机 1.8英寸 黑色诺基亚实用主义典范！,"消费者保障	七天退换",七天退换,,广东 广州,218.00        运费：12.00           信用卡,美之星城,0,0
【国彦数码】 金立 GN109 e-life 安卓系统 智能手机 双卡双待,消费者保障,无七天退换,,四川 成都,1259.00        运费：25.00           信用卡,诚信拾金jun,0,0
Lenovo/联想 E319 手机 滑盖MP3 移动手机 正品 全国联保 特价,消费者保障,无七天退换,,浙江 台州货到付款,149.00        运费：5.00           信用卡,xjchengfeng,0,0
购机赠话费 ZTE/中兴 X998 电信天翼3G QQ后台 手机 正品,"消费者保障	七天退换	正品保障",七天退换,"月售25笔	93条评价",北京,258.00        运费：12.00           信用卡,亿派创新数码专营店,25,93
包邮 现货 Samsung/三星 S8300C 手机 欧版,消费者保障,无七天退换,,上海,1140.00        运费：0.00           信用卡,581shujing,0,0
【假一罚三】全国联保LG GS290 手机,消费者保障,无七天退换,,上海,433.00        运费：0.00,tb1373827_2012,0,0
Huawei/华为 C8812\直板\4英寸\3G智能手机\系统：Android OS 4.0,消费者保障,无七天退换,,山东 济南,840.00        运费：0.00,诚信海联,0,0
双皇冠OPPO X903智能手机欧珀专卖 安卓正品行货 假一赔三 包顺丰,"消费者保障	七天退换",七天退换,"月售43笔	28条评价",上海,1398.00        运费：0.00           信用卡,yefei_hs,43,28
抢购疯抢包邮秒杀 正品行货全国联保Huawei/华为 T8300智能手机,消费者保障,无七天退换,,上海,568.00        运费：0.00,aqazas1234,0,0
K-Touch/天语 E62 双卡双待手机 手写 JAVA 正品行货,"消费者保障	七天退换",七天退换,"月售12笔	4条评价",北京,255.00        运费：20.00           信用卡,明明电子1,12,4
Alcatel/阿尔卡特 OT-979 1G 4寸安卓3G 智能手机 礼包,"消费者保障	七天退换	正品保障",七天退换,"月售1笔	16条评价",广东 惠州,1299.00        运费：0.00           信用卡,阿尔卡特贝山专卖店,1,16
Coolpad/酷派 W706 安卓智能手机 3.5寸触屏 3G合约机 安卓2.2,消费者保障,无七天退换,,广东 惠州货到付款,999.00        运费：13.00           信用卡,幸福在线17,0,0
Goophone谷峰Y5/谷峰4gs谷蜂手机/锋神4S大米Y5谷果v5-3g智能手机,"消费者保障	七天退换",七天退换,"月售391笔	338条评价",广东 深圳,850.00        运费：0.01           信用卡,小程子格格,391,338
宏为品牌手机 W7000 正品行货 带内存卡,消费者保障,无七天退换,,浙江 绍兴,480.00        运费：10.00,古珍数码科技,0,0
【假一罚三】全国联保ZTE/中兴 V889D手机,消费者保障,无七天退换,,上海,758.00        运费：0.00,tb1373827_2012,0,0
易丰E62V 电信天翼手机 CDMA天翼3G MP3音乐娱乐 QQ聊天,消费者保障,无七天退换,,广东 珠海货到付款,488.00        运费：15.00           信用卡,shiweihi,0,0
HTC Z710e G14 sensation安卓3G智能手机800万导航 安卓4.0包邮,"消费者保障	七天退换",七天退换,"月售2笔	3条评价",广东 深圳,1360.00        运费：0.00,名人手机通讯,2,3
Samsung/三星 Galaxy Mini S5570  盖世系列 安卓智能手机,消费者保障,无七天退换,,广东 深圳,900.00        运费：10.00           信用卡,来世做猪猪,0,0
有17国语言的、带FM功能、彩屏的四频老人手机58+,消费者保障,无七天退换,月售2笔,广东 深圳,185.00        运费：10.00,vnetphone08,2,0
Gionee/金立 GN100安卓智能手机 商务导航 双卡双待 正品行货包邮,消费者保障,无七天退换,,江苏 泰州,690.00        运费：0.00,shandan881001,0,0
John's Phone 世界上最简单的手机,"消费者保障	七天退换",七天退换,"月售2笔	1条评价",北京,998.00        运费：12.00           信用卡,gadgetlife,2,1
包邮 正品行货 大显 I68 3.5高清触屏手机 半智能 特价 超薄直板,"消费者保障	七天退换",七天退换,"月售6笔	9条评价",广东 深圳货到付款,165.00        运费：0.00           信用卡,太平手机店,6,9
海信T96 双核智能手机 安卓4.0 CMMB手机  送电池座充贴膜手机套,"消费者保障	七天退换",七天退换,"月售8笔	14条评价",江苏 南京,1100.08        运费：0.00           信用卡折扣,创建资讯,8,14
BIRD/波导 I800 天王手机 QQ微信语聊 淘宝旺旺 正品,消费者保障,无七天退换,6条评价,广东 深圳,388.00        运费：10.00           信用卡,果果4120,0,6
路虎 Y9 陆虎 A9i S8 S1 手机 户外三防 超长待机 双卡双待shouji,"消费者保障	七天退换",七天退换,"月售20笔	14条评价",上海货到付款,215.01        运费：6.00           信用卡,可嘉手机,20,14
【豌豆手机实拍】Sony/索尼 ST27i Xperia go 全新原装现货,"消费者保障	七天退换",七天退换,,湖北 武汉,1470.00        运费：0.00           信用卡,xiaoer630,0,0
『包邮 现货赠礼品』Samsung/三星 W279 双模双待 手机正品行货,"消费者保障	七天退换",七天退换,"月售128笔	47条评价",浙江 杭州,475.00        运费：0.00           信用卡,诚信龙拽10,128,47
【特惠价】K-Touch/天语 E688 双模双待 阿里云 4寸大屏 智能手机,消费者保障,无七天退换,,江苏 南京,839.00        运费：20.00,济南京网,0,0
国产半智能安卓系统触摸大屏男女款式直板手机双QQ收音机微博A36,消费者保障,无七天退换,,广东 深圳,320.00        运费：12.00,iongfan,0,0
知己 ZJH959 女生翻盖手机日系时尚呼吸灯女士女性手机语音王,"消费者保障	七天退换",七天退换,,广东 深圳,205.00        运费：20.00,鸿昌达通讯,0,0
K-Touch/天语T580 安卓智能 双摄像头 移动G3手机 赠300-500话费,"消费者保障	七天退换",七天退换,,浙江 杭州,578.00        运费：6.00,一叶扁舟6998,0,0
包顺丰 送4G卡 MIUI/小米 M1s 小米手机2代 米2 MI2 M1 M2 1S现货,"消费者保障	七天退换",七天退换,"月售18笔	6条评价",北京,1755.10        运费：0.00           信用卡,芊芊0721,18,6
OPPO T15音乐手机 正品行货，支持验证,"消费者保障	七天退换",七天退换,"月售7笔	5条评价",广东 深圳,370.00        运费：0.00,旺财通讯10,7,5
爱我手机原装正品年底冲钻特价LM-A21全国联宝超长待机商务手机炫,"消费者保障	七天退换",七天退换,,广东 深圳,478.00        运费：10.00           信用卡,ailovmi,0,0
ZTE/中兴 V970 联通3G智能手机 双核1GHz 4.3屏 双卡双待 安卓4.0,"消费者保障	七天退换	正品保障",七天退换,"月售102笔	43条评价",广东 深圳,998.02        运费：0.00           信用卡,中移普泰数码专营店,102,43
IHTC Sensation XL G21 安卓4.0双核智能手机 4.7寸800W像素魔音,消费者保障,无七天退换,,广东 深圳货到付款,1230.00        运费：22.00,dinguagua138,0,0
小m1米国产半智能安卓系统超薄直板情侣双卡双待男女士全触屏手机,"消费者保障	七天退换",七天退换,"月售25笔	8条评价",广东 深圳,175.00        运费：0.00           信用卡,小玛丽_2009,25,8
特价：德赛T198  /198 绿色低辐射音乐手机 老人宝手机 学生手机,"消费者保障	七天退换",七天退换,"月售2笔	11条评价",安徽 滁州,109.00        运费：0.00           信用卡,新农村手机城1,2,11
Samsung/三星 CSH-I509 原装行货 安卓智能手机 电信CDMA天翼手机,"消费者保障	七天退换",七天退换,"月售42笔	140条评价",广东 深圳货到付款,430.04        运费：0.01,信义耗材,42,140
新款 三普大屏智能手机 安卓2.3系统 4.3寸高清电容屏 WIFI 盖世3,消费者保障,无七天退换,月售2笔,广东 深圳货到付款,580.00        运费：10.00           信用卡,手机城1688,2,0
超薄热卖 Samsung/三星 i9050/i9100G 安卓4.1智能手机大屏,消费者保障,无七天退换,"月售16笔	3条评价",广东 深圳,879.75        运费：12.00           信用卡,深圳阿泰智能店,16,3
K-Touch/天语 W686 1G安卓4.0双卡双待4.0屏智能手机送16G卡包邮,消费者保障,无七天退换,1条评价,广东 深圳,868.00        运费：0.00           信用卡,zcr168,0,1
国立通GLT-88翻盖手机 精美烫花,消费者保障,无七天退换,,浙江 绍兴,350.00        运费：10.00,古珍数码科技,0,0
Motorola/摩托罗拉 MT870 3G手机（粉色）TD-SCDMA/GSM,"消费者保障	七天退换",七天退换,,北京,3758.00        运费：10.00           信用卡,xrsc365,0,0
Motorola/摩托罗拉 EX211 GSM手机（典雅紫）,"消费者保障	七天退换",七天退换,,北京,534.00        运费：10.00           信用卡,xrsc365,0,0
黄金限量版 台版威图 VERTU 手机 K5 单卡修长款 个性 奢华独特,消费者保障,无七天退换,,上海,570.00        运费：6.00,可嘉,0,0
包邮 现货HTC X315e G21 Sensation XL 手机,消费者保障,无七天退换,,上海,2550.00        运费：0.00,wanzmnn,0,0
包邮 现货HTC Z710e G14 sensation 手机,消费者保障,无七天退换,,上海,2490.00        运费：0.00,wanzmnn,0,0
宝马 760 迷你 个性手机 mini 汽车 遥控器 跑车 钥匙扣 袖珍手机,消费者保障,无七天退换,,上海,250.00        运费：6.00,可嘉,0,0
最新特价安卓2.3系统手机 电容屏 低价智能手机 WIFI上网双卡双待,消费者保障,无七天退换,,上海,620.00        运费：15.00,全国数码批发总代理,0,0
